Year,Month,Day,hr,mn,WSPD,WVHT,WTMP
2021,7,1,0,0,6,99,15.5
2021,7,1,0,10,5.9,99,15.5
2021,7,1,0,20,5.9,99,15.4
2021,7,1,0,30,5.8,99,15.3
2021,7,1,0,40,5.9,1.63,15.3
2021,7,1,0,50,5.8,99,15.3
2021,7,1,1,0,5.3,99,15.3
2021,7,1,1,10,5.2,99,15.3
2021,7,1,1,20,5.5,99,15.3
2021,7,1,1,30,5.9,99,15.3
2021,7,1,1,40,5.8,1.49,15.3
2021,7,1,1,50,5.7,99,15.3
2021,7,1,2,0,6.1,99,15.3
2021,7,1,2,10,6.4,99,15.3
2021,7,1,2,20,6.2,99,15.3
2021,7,1,2,30,6.2,99,15.2
2021,7,1,2,40,5.7,1.55,15.2
2021,7,1,2,50,5.9,99,15.2
2021,7,1,3,0,5.8,99,15.2
2021,7,1,3,10,6,99,15.2
2021,7,1,3,20,5.9,99,15.2
2021,7,1,3,30,5.4,99,15.2
2021,7,1,3,40,5.6,1.46,15.2
2021,7,1,3,50,5.4,99,15.2
2021,7,1,4,0,5.5,99,15.2
2021,7,1,4,10,5.4,99,15.2
2021,7,1,4,20,5.6,99,15.2
2021,7,1,4,30,5.3,99,15.2
2021,7,1,4,40,5.7,1.53,15.2
2021,7,1,4,50,5.5,99,15.2
2021,7,1,5,0,5.6,99,15.2
2021,7,1,5,10,5.6,99,15.2
2021,7,1,5,20,5.7,99,15.2
2021,7,1,5,30,6.2,99,15.2
2021,7,1,5,40,5.8,1.53,15.2
2021,7,1,5,50,6.5,99,15.2
2021,7,1,6,0,6.2,99,15.2
2021,7,1,6,10,6.4,99,15.2
2021,7,1,6,20,5.9,99,15.2
2021,7,1,6,30,5.9,99,15.2
2021,7,1,6,40,5.5,1.55,15.1
2021,7,1,6,50,5.3,99,15.1
2021,7,1,7,0,5.2,99,15.1
2021,7,1,7,10,5,99,15
2021,7,1,7,20,4.4,99,15
2021,7,1,7,30,4.3,99,15
2021,7,1,7,40,4.3,1.57,15
2021,7,1,7,50,4.4,99,14.9
2021,7,1,8,0,4,99,14.9
2021,7,1,8,10,4.4,99,14.9
2021,7,1,8,20,4.2,99,14.9
2021,7,1,8,30,3.9,99,14.9
2021,7,1,8,40,4.2,1.73,15
2021,7,1,8,50,4.2,99,15
2021,7,1,9,0,3.5,99,15
2021,7,1,9,10,3.2,99,15.1
2021,7,1,9,20,3,99,15.1
2021,7,1,9,30,3.5,99,15.2
2021,7,1,9,40,3.2,1.66,15.2
2021,7,1,9,50,3.7,99,15.2
2021,7,1,10,0,3.8,99,15.2
2021,7,1,10,10,3.6,99,15.2
2021,7,1,10,20,4.3,99,15.2
2021,7,1,10,30,4.4,99,15.2
2021,7,1,10,40,4.5,1.68,15.2
2021,7,1,10,50,3.9,99,15.2
2021,7,1,11,0,3.6,99,15.2
2021,7,1,11,10,2.9,99,15.2
2021,7,1,11,20,3.3,99,15.2
2021,7,1,11,30,3.5,99,15.2
2021,7,1,11,40,3,1.62,15.2
2021,7,1,11,50,2.8,99,15.2
2021,7,1,12,0,2.5,99,15.2
2021,7,1,12,10,3.1,99,15.2
2021,7,1,12,20,2.6,99,15.2
2021,7,1,12,30,3.4,99,15.2
2021,7,1,12,40,2.9,1.61,15.2
2021,7,1,12,50,2.7,99,15.1
2021,7,1,13,0,2.7,99,15.1
2021,7,1,13,10,2.6,99,15.1
2021,7,1,13,20,2.8,99,15
2021,7,1,13,30,2.6,99,14.9
2021,7,1,13,40,2.6,1.67,14.9
2021,7,1,13,50,2.5,99,14.8
2021,7,1,14,0,3.2,99,14.8
2021,7,1,14,10,3.2,99,14.8
2021,7,1,14,20,3.9,99,14.8
2021,7,1,14,30,3.9,99,14.7
2021,7,1,14,40,3,1.59,14.7
2021,7,1,14,50,4,99,14.7
2021,7,1,15,0,3.1,99,14.7
2021,7,1,15,10,3.7,99,14.6
2021,7,1,15,20,3.9,99,14.6
2021,7,1,15,30,3.2,99,14.6
2021,7,1,15,40,2.8,1.68,14.6
2021,7,1,15,50,3.9,99,14.6
2021,7,1,16,0,3.7,99,14.6
2021,7,1,16,10,3.3,99,14.6
2021,7,1,16,20,3.1,99,14.6
2021,7,1,16,30,3.2,99,14.6
2021,7,1,16,40,3.4,1.51,14.6
2021,7,1,16,50,3.5,99,14.6
2021,7,1,17,0,3,99,14.6
2021,7,1,17,10,2.5,99,14.7
2021,7,1,17,20,2.8,99,14.6
2021,7,1,17,30,2.6,99,14.6
2021,7,1,17,40,3,1.57,14.7
2021,7,1,17,50,3.1,99,14.7
2021,7,1,18,0,3.1,99,14.7
2021,7,1,18,10,3.2,99,14.7
2021,7,1,18,20,3.4,99,14.7
2021,7,1,18,30,3.4,99,14.7
2021,7,1,18,40,3.1,1.53,14.7
2021,7,1,18,50,3.9,99,14.8
2021,7,1,19,0,4,99,14.8
2021,7,1,19,10,3.8,99,14.8
2021,7,1,19,20,4.1,99,14.8
2021,7,1,19,30,4.2,99,14.8
2021,7,1,19,40,4.2,1.53,14.8
2021,7,1,19,50,3.4,99,14.8
2021,7,1,20,0,3.7,99,14.9
2021,7,1,20,10,4.5,99,14.9
2021,7,1,20,20,5.2,99,14.9
2021,7,1,20,30,5,99,15
2021,7,1,20,40,4.4,1.66,15.1
2021,7,1,20,50,4.4,99,15.1
2021,7,1,21,0,4.6,99,15.1
2021,7,1,21,10,4.5,99,15.2
2021,7,1,21,20,4.7,99,15.2
2021,7,1,21,30,4.7,99,15.2
2021,7,1,21,40,4.7,1.38,15.2
2021,7,1,21,50,4.5,99,15.2
2021,7,1,22,0,4.8,99,15.3
2021,7,1,22,10,4.9,99,15.3
2021,7,1,22,20,5.1,99,15.3
2021,7,1,22,30,5.5,99,15.3
2021,7,1,22,40,6.8,1.43,15.3
2021,7,1,22,50,7.2,99,15.2
2021,7,1,23,0,7,99,15.2
2021,7,1,23,10,7.1,99,15.2
2021,7,1,23,20,8.1,99,15.2
2021,7,1,23,30,8.1,99,15.2
2021,7,1,23,40,7.5,1.51,15.2
2021,7,1,23,50,7.1,99,15.2
2021,7,2,0,0,7.3,99,15.2
2021,7,2,0,10,7.3,99,15.2
2021,7,2,0,20,8,99,15.1
2021,7,2,0,30,8.2,99,15.1
2021,7,2,0,40,7.9,1.5,15.1
2021,7,2,0,50,7.5,99,15.1
2021,7,2,1,0,7.9,99,15.1
2021,7,2,1,10,7.7,99,15.1
2021,7,2,1,20,7.9,99,15.1
2021,7,2,1,30,8.5,99,15.1
2021,7,2,1,40,8,1.69,15.1
2021,7,2,1,50,8,99,15.1
2021,7,2,2,0,7.4,99,15
2021,7,2,2,10,7.4,99,15
2021,7,2,2,20,7.6,99,15
2021,7,2,2,30,7.7,99,15
2021,7,2,2,40,8.3,1.57,15
2021,7,2,2,50,8.1,99,15
2021,7,2,3,0,7.8,99,15
2021,7,2,3,10,7.5,99,14.9
2021,7,2,3,20,7.4,99,14.9
2021,7,2,3,30,7.5,99,14.9
2021,7,2,3,40,7.6,1.7,14.9
2021,7,2,3,50,7.8,99,14.9
2021,7,2,4,0,7.2,99,14.9
2021,7,2,4,10,7.4,99,14.9
2021,7,2,4,20,6.9,99,14.9
2021,7,2,4,30,7,99,14.9
2021,7,2,4,40,7,1.57,14.9
2021,7,2,4,50,7.6,99,14.9
2021,7,2,5,0,7.4,99,14.9
2021,7,2,5,10,7.9,99,14.8
2021,7,2,5,20,7,99,14.8
2021,7,2,5,30,7.3,99,14.8
2021,7,2,5,40,6.7,1.74,14.8
2021,7,2,5,50,6.7,99,14.8
2021,7,2,6,0,7.3,99,14.8
2021,7,2,6,10,6.7,99,14.8
2021,7,2,6,20,7.1,99,14.8
2021,7,2,6,30,7.4,99,14.8
2021,7,2,6,40,6.5,1.73,14.8
2021,7,2,6,50,7.4,99,14.8
2021,7,2,7,0,7.2,99,14.8
2021,7,2,7,10,6.3,99,14.8
2021,7,2,7,20,6.1,99,14.7
2021,7,2,7,30,6.6,99,14.7
2021,7,2,7,40,7,1.67,14.7
2021,7,2,7,50,6.8,99,14.7
2021,7,2,8,0,6.5,99,14.7
2021,7,2,8,10,6.6,99,14.7
2021,7,2,8,20,6.3,99,14.7
2021,7,2,8,30,6.4,99,14.7
2021,7,2,8,40,5.8,1.78,14.7
2021,7,2,8,50,5.9,99,14.7
2021,7,2,9,0,6.1,99,14.7
2021,7,2,9,10,6,99,14.7
2021,7,2,9,20,5.6,99,14.7
2021,7,2,9,30,5.6,99,14.7
2021,7,2,9,40,5.4,1.52,99
2021,7,2,9,50,5.2,99,14.7
2021,7,2,10,0,5.8,99,14.7
2021,7,2,10,10,5.9,99,14.7
2021,7,2,10,20,6.4,99,14.7
2021,7,2,10,30,5.6,99,14.7
2021,7,2,10,40,5.8,1.51,14.8
2021,7,2,10,50,5.1,99,14.8
2021,7,2,11,0,5,99,14.8
2021,7,2,11,10,6.6,99,14.8
2021,7,2,11,20,5.4,99,14.8
2021,7,2,11,30,5.9,99,14.8
2021,7,2,11,40,6,1.63,14.8
2021,7,2,11,50,6.4,99,14.8
2021,7,2,12,0,5.7,99,14.8
2021,7,2,12,10,5.2,99,14.8
2021,7,2,12,20,5.5,99,14.8
2021,7,2,12,30,5.4,99,14.8
2021,7,2,12,40,5.3,1.78,14.8
2021,7,2,12,50,5.9,99,14.8
2021,7,2,13,0,5.6,99,14.8
2021,7,2,13,10,5,99,14.8
2021,7,2,13,20,5.3,99,14.8
2021,7,2,13,30,5.6,99,14.8
2021,7,2,13,40,6.2,1.73,14.8
2021,7,2,13,50,5,99,14.8
2021,7,2,14,0,5.3,99,14.8
2021,7,2,14,10,5.8,99,14.8
2021,7,2,14,20,6.5,99,14.8
2021,7,2,14,30,5.9,99,14.8
2021,7,2,14,40,6.1,1.75,14.8
2021,7,2,14,50,5.9,99,14.8
2021,7,2,15,0,6.4,99,14.7
2021,7,2,15,10,6.3,99,14.7
2021,7,2,15,20,6.4,99,14.7
2021,7,2,15,30,6.3,99,14.7
2021,7,2,15,40,7,1.73,14.7
2021,7,2,15,50,7.7,99,14.7
2021,7,2,16,0,7.7,99,14.7
2021,7,2,16,10,8.1,99,14.7
2021,7,2,16,20,8.1,99,14.7
2021,7,2,16,30,7.8,99,14.7
2021,7,2,16,40,7.4,1.89,14.7
2021,7,2,16,50,7.5,99,14.7
2021,7,2,17,0,7.7,99,14.7
2021,7,2,17,10,7.7,99,14.7
2021,7,2,17,20,7.5,99,14.7
2021,7,2,17,30,6.9,99,14.7
2021,7,2,17,40,6.8,1.92,14.7
2021,7,2,17,50,6.2,99,14.7
2021,7,2,18,0,5.7,99,14.7
2021,7,2,18,10,5.3,99,14.8
2021,7,2,18,20,5.8,99,14.8
2021,7,2,18,30,6.5,99,14.8
2021,7,2,18,40,5.8,1.8,14.8
2021,7,2,18,50,5.4,99,14.8
2021,7,2,19,0,4.8,99,14.8
2021,7,2,19,10,4.8,99,14.8
2021,7,2,19,20,5.6,99,14.9
2021,7,2,19,30,6.1,99,14.9
2021,7,2,19,40,6.1,1.91,14.9
2021,7,2,19,50,6.6,99,14.9
2021,7,2,20,0,6.9,99,14.9
2021,7,2,20,10,7.5,99,14.9
2021,7,2,20,20,7.4,99,14.9
2021,7,2,20,30,7.6,99,14.9
2021,7,2,20,40,7.3,1.83,14.9
2021,7,2,20,50,7.9,99,14.9
2021,7,2,21,0,7.5,99,14.9
2021,7,2,21,10,6.7,99,14.9
2021,7,2,21,20,7.1,99,14.9
2021,7,2,21,30,7.3,99,14.9
2021,7,2,21,40,7.4,1.88,14.9
2021,7,2,21,50,7.6,99,14.9
2021,7,2,22,0,7.4,99,14.9
2021,7,2,22,10,7.4,99,14.9
2021,7,2,22,20,8,99,14.9
2021,7,2,22,30,7.7,99,14.9
2021,7,2,22,40,7.7,1.7,14.9
2021,7,2,22,50,7.8,99,15
2021,7,2,23,0,7.6,99,15
2021,7,2,23,10,7.4,99,15
2021,7,2,23,20,7.9,99,15
2021,7,2,23,30,8.1,99,15
2021,7,2,23,40,7.9,1.69,15
2021,7,2,23,50,8.3,99,15
2021,7,3,0,0,8.3,99,15
2021,7,3,0,10,8.4,99,15
2021,7,3,0,20,8.2,99,15
2021,7,3,0,30,7.5,99,15
2021,7,3,0,40,7.4,1.77,15
2021,7,3,0,50,7.1,99,14.9
2021,7,3,1,0,7.3,99,14.9
2021,7,3,1,10,7.4,99,14.9
2021,7,3,1,20,7.9,99,15
2021,7,3,1,30,6.8,99,15
2021,7,3,1,40,7.5,1.87,14.9
2021,7,3,1,50,7.7,99,14.9
2021,7,3,2,0,7.9,99,14.9
2021,7,3,2,10,8,99,14.9
2021,7,3,2,20,7.7,99,14.9
2021,7,3,2,30,7.3,99,14.9
2021,7,3,2,40,6.9,1.81,14.9
2021,7,3,2,50,7.4,99,14.9
2021,7,3,3,0,7.2,99,14.8
2021,7,3,3,10,7.4,99,14.8
2021,7,3,3,20,6.5,99,14.8
2021,7,3,3,30,6.5,99,14.8
2021,7,3,3,40,6.6,1.89,99
2021,7,3,3,50,7.2,99,14.7
2021,7,3,4,0,7.2,99,14.7
2021,7,3,4,10,7,99,14.7
2021,7,3,4,20,6.6,99,14.8
2021,7,3,4,30,6.5,99,14.8
2021,7,3,4,40,6.7,1.81,14.8
2021,7,3,4,50,6.2,99,14.8
2021,7,3,5,0,5.9,99,14.8
2021,7,3,5,10,6.3,99,14.8
2021,7,3,5,20,5.8,99,14.8
2021,7,3,5,30,5.9,99,14.8
2021,7,3,5,40,5.9,1.93,14.8
2021,7,3,5,50,5.5,99,14.8
2021,7,3,6,0,5.8,99,14.8
2021,7,3,6,10,5.9,99,14.8
2021,7,3,6,20,5.8,99,14.8
2021,7,3,6,30,5.9,99,14.8
2021,7,3,6,40,5.4,1.86,14.8
2021,7,3,6,50,6.2,99,14.8
2021,7,3,7,0,5.7,99,14.7
2021,7,3,7,10,6.4,99,14.7
2021,7,3,7,20,6.3,99,14.7
2021,7,3,7,30,6.1,99,14.7
2021,7,3,7,40,5.6,1.76,14.7
2021,7,3,7,50,5.1,99,14.7
2021,7,3,8,0,5,99,14.7
2021,7,3,8,10,5.3,99,14.7
2021,7,3,8,20,5.8,99,14.7
2021,7,3,8,30,6.2,99,14.7
2021,7,3,8,40,6,1.74,14.7
2021,7,3,8,50,5.8,99,14.7
2021,7,3,9,0,5.7,99,14.7
2021,7,3,9,10,5.1,99,14.7
2021,7,3,9,20,5.3,99,14.7
2021,7,3,9,30,5.6,99,14.7
2021,7,3,9,40,6.1,1.84,14.7
2021,7,3,9,50,5.9,99,14.7
2021,7,3,10,0,6.3,99,14.7
2021,7,3,10,10,6,99,14.7
2021,7,3,10,20,5.6,99,14.7
2021,7,3,10,30,5,99,14.7
2021,7,3,10,40,4.8,1.71,14.7
2021,7,3,10,50,5.5,99,14.7
2021,7,3,11,0,5.5,99,14.7
2021,7,3,11,10,5.7,99,14.7
2021,7,3,11,20,5.3,99,14.7
2021,7,3,11,30,5.8,99,14.7
2021,7,3,11,40,5.1,1.68,14.7
2021,7,3,11,50,5.4,99,14.7
2021,7,3,12,0,5.8,99,14.7
2021,7,3,12,10,5.2,99,14.7
2021,7,3,12,20,5.6,99,14.7
2021,7,3,12,30,5.7,99,14.7
2021,7,3,12,40,5.2,1.63,99
2021,7,3,12,50,5.5,99,14.7
2021,7,3,13,0,5.7,99,14.7
2021,7,3,13,10,5,99,14.7
2021,7,3,13,20,6.1,99,14.7
2021,7,3,13,30,5.4,99,14.7
2021,7,3,13,40,5.9,1.72,14.7
2021,7,3,13,50,5.8,99,14.7
2021,7,3,14,0,5.8,99,14.7
2021,7,3,14,10,5.9,99,14.7
2021,7,3,14,20,5.8,99,14.7
2021,7,3,14,30,5.1,99,14.7
2021,7,3,14,40,5.5,1.66,14.7
2021,7,3,14,50,5.2,99,14.7
2021,7,3,15,0,4.8,99,14.7
2021,7,3,15,10,4.6,99,14.7
2021,7,3,15,20,4.7,99,14.7
2021,7,3,15,30,4.4,99,14.7
2021,7,3,15,40,4.2,1.54,14.7
2021,7,3,15,50,4.6,99,14.7
2021,7,3,16,0,4.8,99,14.7
2021,7,3,16,10,4.8,99,14.6
2021,7,3,16,20,4.8,99,14.7
2021,7,3,16,30,5.1,99,14.7
2021,7,3,16,40,4.7,1.72,14.7
2021,7,3,16,50,4,99,14.8
2021,7,3,17,0,4.2,99,14.8
2021,7,3,17,10,4.6,99,14.8
2021,7,3,17,20,4.6,99,14.8
2021,7,3,17,30,4.6,99,14.8
2021,7,3,17,40,4.6,1.66,14.9
2021,7,3,17,50,4.7,99,14.9
2021,7,3,18,0,4.7,99,14.9
2021,7,3,18,10,5,99,14.9
2021,7,3,18,20,5.1,99,14.9
2021,7,3,18,30,5.3,99,14.9
2021,7,3,18,40,5.4,1.69,15
2021,7,3,18,50,5.8,99,15
2021,7,3,19,0,5.8,99,15
2021,7,3,19,10,6,99,15.1
2021,7,3,19,20,6,99,15.1
2021,7,3,19,30,6.3,99,15.1
2021,7,3,19,40,5.8,1.77,15.1
2021,7,3,19,50,5.6,99,15.1
2021,7,3,20,0,6.1,99,15.1
2021,7,3,20,10,5.8,99,15.2
2021,7,3,20,20,6.3,99,15.2
2021,7,3,20,30,5.9,99,15.2
2021,7,3,20,40,6.5,1.71,15.2
2021,7,3,20,50,6,99,15.2
2021,7,3,21,0,6.5,99,15.2
2021,7,3,21,10,6.3,99,15.2
2021,7,3,21,20,6.1,99,15.2
2021,7,3,21,30,6.3,99,15.2
2021,7,3,21,40,6.7,1.77,15.2
2021,7,3,21,50,6.7,99,15.2
2021,7,3,22,0,6.1,99,15.2
2021,7,3,22,10,6.2,99,15.2
2021,7,3,22,20,6,99,15.3
2021,7,3,22,30,6.9,99,15.3
2021,7,3,22,40,6.7,1.78,15.3
2021,7,3,22,50,6.9,99,15.3
2021,7,3,23,0,6.9,99,15.3
2021,7,3,23,10,7.1,99,15.3
2021,7,3,23,20,6.7,99,15.3
2021,7,3,23,30,7,99,15.3
2021,7,3,23,40,7.6,1.6,15.2
2021,7,3,23,50,7.2,99,15.2
2021,7,4,0,0,7.1,99,15.2
2021,7,4,0,10,7.1,99,15.2
2021,7,4,0,20,6.9,99,15.2
2021,7,4,0,30,7,99,15.2
2021,7,4,0,40,7.1,1.89,15.2
2021,7,4,0,50,7.1,99,15.2
2021,7,4,1,0,7.1,99,15.2
2021,7,4,1,10,7.3,99,15.2
2021,7,4,1,20,7.1,99,15.2
2021,7,4,1,30,7.3,99,15.2
2021,7,4,1,40,6.9,1.81,15.2
2021,7,4,1,50,7.1,99,15.2
2021,7,4,2,0,6.7,99,15.2
2021,7,4,2,10,6.3,99,15.2
2021,7,4,2,20,7.3,99,15.1
2021,7,4,2,30,7.5,99,15.1
2021,7,4,2,40,7.2,1.66,15.1
2021,7,4,2,50,6.1,99,15.1
2021,7,4,3,0,6.6,99,15.1
2021,7,4,3,10,6.7,99,15.1
2021,7,4,3,20,6.8,99,15.1
2021,7,4,3,30,6.8,99,15.1
2021,7,4,3,40,6.5,1.65,15.1
2021,7,4,3,50,6.9,99,15.1
2021,7,4,4,0,6.8,99,15.1
2021,7,4,4,10,6.4,99,15.1
2021,7,4,4,20,5.6,99,15.1
2021,7,4,4,30,6.5,99,15.1
2021,7,4,4,40,6.5,1.63,15.1
2021,7,4,4,50,6.4,99,15.1
2021,7,4,5,0,6.5,99,15.1
2021,7,4,5,10,6.3,99,15.1
2021,7,4,5,20,5.8,99,15.1
2021,7,4,5,30,5.9,99,15.1
2021,7,4,5,40,5.4,1.66,15.1
2021,7,4,5,50,6.5,99,15.1
2021,7,4,6,0,6.1,99,15.1
2021,7,4,6,10,6.2,99,15.1
2021,7,4,6,20,6.1,99,15.1
2021,7,4,6,30,6,99,15.1
2021,7,4,6,40,5.4,1.65,15.1
2021,7,4,6,50,5.4,99,15.1
2021,7,4,7,0,5.7,99,15.1
2021,7,4,7,10,5.6,99,15
2021,7,4,7,20,5.4,99,15
2021,7,4,7,30,5.8,99,15
2021,7,4,7,40,5,1.64,15
2021,7,4,7,50,4.8,99,15
2021,7,4,8,0,5.3,99,15
2021,7,4,8,10,5,99,15
2021,7,4,8,20,4.9,99,15
2021,7,4,8,30,5.2,99,15
2021,7,4,8,40,4.4,1.64,15
2021,7,4,8,50,5.2,99,15
2021,7,4,9,0,5.4,99,15
2021,7,4,9,10,4.4,99,15
2021,7,4,9,20,4.1,99,15
2021,7,4,9,30,4.2,99,15
2021,7,4,9,40,5.3,1.55,15
2021,7,4,9,50,4.8,99,15
2021,7,4,10,0,5.3,99,15
2021,7,4,10,10,5,99,15
2021,7,4,10,20,4.9,99,15
2021,7,4,10,30,5.3,99,15
2021,7,4,10,40,5.8,1.53,15
2021,7,4,10,50,5.4,99,15
2021,7,4,11,0,5.5,99,15
2021,7,4,11,10,6,99,15
2021,7,4,11,20,5,99,15
2021,7,4,11,30,4.4,99,15
2021,7,4,11,40,4.8,1.82,15
2021,7,4,11,50,4.8,99,15
2021,7,4,12,0,5,99,15
2021,7,4,12,10,4.8,99,15
2021,7,4,12,20,4.8,99,15
2021,7,4,12,30,5.5,99,15
2021,7,4,12,40,5.8,1.63,15
2021,7,4,12,50,5.3,99,15
2021,7,4,13,0,4.7,99,15.1
2021,7,4,13,10,5.1,99,15.1
2021,7,4,13,20,5.3,99,15.1
2021,7,4,13,30,4.5,99,15.1
2021,7,4,13,40,4.5,1.82,15.1
2021,7,4,13,50,4.4,99,15.1
2021,7,4,14,0,5,99,15.1
2021,7,4,14,10,4.6,99,15.1
2021,7,4,14,20,4.3,99,15.1
2021,7,4,14,30,4.2,99,15.1
2021,7,4,14,40,4,1.58,15.1
2021,7,4,14,50,4.1,99,15.1
2021,7,4,15,0,4,99,15.1
2021,7,4,15,10,3.7,99,15.1
2021,7,4,15,20,3.9,99,15.1
2021,7,4,15,30,3.8,99,15.1
2021,7,4,15,40,3.1,1.8,15.1
2021,7,4,15,50,3.4,99,15.1
2021,7,4,16,0,3,99,15.1
2021,7,4,16,10,2.6,99,15.1
2021,7,4,16,20,2.8,99,15.1
2021,7,4,16,30,4.1,99,15.1
2021,7,4,16,40,4.2,1.73,15.1
2021,7,4,16,50,3.6,99,15.1
2021,7,4,17,0,4.3,99,15.1
2021,7,4,17,10,3.8,99,15.1
2021,7,4,17,20,4.1,99,15.1
2021,7,4,17,30,3.8,99,15.1
2021,7,4,17,40,4.5,1.77,15.1
2021,7,4,17,50,3.9,99,15.2
2021,7,4,18,0,4,99,15.2
2021,7,4,18,10,3.4,99,15.2
2021,7,4,18,20,3.8,99,15.2
2021,7,4,18,30,3.7,99,15.2
2021,7,4,18,40,3.7,1.62,15.3
2021,7,4,18,50,3.8,99,15.3
2021,7,4,19,0,3.1,99,15.3
2021,7,4,19,10,3.4,99,15.4
2021,7,4,19,20,2.8,99,15.4
2021,7,4,19,30,3.9,99,15.4
2021,7,4,19,40,4.1,1.58,15.5
2021,7,4,19,50,4,99,15.5
2021,7,4,20,0,4.4,99,15.5
2021,7,4,20,10,4.1,99,15.5
2021,7,4,20,20,4.3,99,15.5
2021,7,4,20,30,4.9,99,15.5
2021,7,4,20,40,4.8,1.37,15.5
2021,7,4,20,50,5,99,15.6
2021,7,4,21,0,5.4,99,15.7
2021,7,4,21,10,99,99,15.7
2021,7,4,21,20,6,99,15.7
2021,7,4,21,30,5.8,99,15.7
2021,7,4,21,40,5.7,1.56,15.7
2021,7,4,21,50,6.1,99,15.7
2021,7,4,22,0,5.5,99,15.7
2021,7,4,22,10,5.6,99,15.7
2021,7,4,22,20,5.5,99,15.8
2021,7,4,22,30,5.5,99,15.8
2021,7,4,22,40,6,1.35,15.8
2021,7,4,22,50,5.7,99,15.8
2021,7,4,23,0,6.1,99,15.8
2021,7,4,23,10,5.7,99,15.7
2021,7,4,23,20,6,99,15.7
2021,7,4,23,30,5.9,99,15.7
2021,7,4,23,40,6,1.52,15.7
2021,7,4,23,50,6.1,99,15.7
2021,7,5,0,0,5.9,99,15.7
2021,7,5,0,10,6,99,15.7
2021,7,5,0,20,5.6,99,15.8
2021,7,5,0,30,6.4,99,15.8
2021,7,5,0,40,6.4,1.5,15.7
2021,7,5,0,50,5.8,99,15.7
2021,7,5,1,0,6.4,99,15.7
2021,7,5,1,10,6.4,99,15.8
2021,7,5,1,20,6.5,99,15.8
2021,7,5,1,30,6.6,99,15.9
2021,7,5,1,40,6.4,1.52,15.8
2021,7,5,1,50,6.6,99,15.8
2021,7,5,2,0,6.1,99,15.8
2021,7,5,2,10,6,99,15.8
2021,7,5,2,20,6.2,99,15.8
2021,7,5,2,30,6.2,99,15.7
2021,7,5,2,40,6.1,1.59,15.7
2021,7,5,2,50,6,99,15.8
2021,7,5,3,0,6.5,99,15.8
2021,7,5,3,10,6.1,99,15.8
2021,7,5,3,20,6.6,99,15.8
2021,7,5,3,30,6.6,99,15.8
2021,7,5,3,40,6.5,1.58,15.7
2021,7,5,3,50,5.9,99,15.7
2021,7,5,4,0,5.8,99,15.7
2021,7,5,4,10,6.5,99,15.7
2021,7,5,4,20,6.1,99,15.7
2021,7,5,4,30,5.6,99,15.7
2021,7,5,4,40,5.7,1.49,15.7
2021,7,5,4,50,5.9,99,15.7
2021,7,5,5,0,5.6,99,15.7
2021,7,5,5,10,6,99,15.7
2021,7,5,5,20,6.1,99,15.7
2021,7,5,5,30,5.7,99,15.7
2021,7,5,5,40,5.9,1.42,15.7
2021,7,5,5,50,5.7,99,15.7
2021,7,5,6,0,4.9,99,15.7
2021,7,5,6,10,5.6,99,15.7
2021,7,5,6,20,5.8,99,15.7
2021,7,5,6,30,5.7,99,15.8
2021,7,5,6,40,5.5,1.38,15.7
2021,7,5,6,50,5.5,99,15.7
2021,7,5,7,0,5.8,99,15.7
2021,7,5,7,10,5.1,99,15.7
2021,7,5,7,20,6,99,99
2021,7,5,7,30,5,99,15.7
2021,7,5,7,40,4.8,1.25,15.7
2021,7,5,7,50,5.2,99,15.7
2021,7,5,8,0,5.3,99,15.7
2021,7,5,8,10,5,99,15.7
2021,7,5,8,20,5.3,99,15.7
2021,7,5,8,30,4.9,99,15.7
2021,7,5,8,40,5,1.47,15.6
2021,7,5,8,50,4.9,99,15.6
2021,7,5,9,0,4.9,99,15.6
2021,7,5,9,10,4.8,99,15.6
2021,7,5,9,20,4.9,99,15.5
2021,7,5,9,30,5.4,99,15.5
2021,7,5,9,40,4.8,1.49,15.5
2021,7,5,9,50,4.8,99,15.5
2021,7,5,10,0,5.6,99,15.4
2021,7,5,10,10,5.4,99,15.4
2021,7,5,10,20,5.6,99,15.4
2021,7,5,10,30,5.1,99,15.4
2021,7,5,10,40,5.2,1.2,15.4
2021,7,5,10,50,5.6,99,15.3
2021,7,5,11,0,5.2,99,15.3
2021,7,5,11,10,5.3,99,15.3
2021,7,5,11,20,5.2,99,15.3
2021,7,5,11,30,5.3,99,15.3
2021,7,5,11,40,4.5,1.25,15.3
2021,7,5,11,50,4.8,99,15.3
2021,7,5,12,0,5.1,99,15.3
2021,7,5,12,10,4.7,99,15.3
2021,7,5,12,20,5.1,99,15.3
2021,7,5,12,30,5,99,15.4
2021,7,5,12,40,5.3,1.37,15.4
2021,7,5,12,50,4.7,99,15.4
2021,7,5,13,0,4.8,99,15.4
2021,7,5,13,10,4.9,99,15.5
2021,7,5,13,20,4.7,99,15.5
2021,7,5,13,30,5,99,15.5
2021,7,5,13,40,4.6,1.32,15.5
2021,7,5,13,50,4.6,99,99
2021,7,5,14,0,4.1,99,15.5
2021,7,5,14,10,4.3,99,15.4
2021,7,5,14,20,4.1,99,15.4
2021,7,5,14,30,4.4,99,15.4
2021,7,5,14,40,4.5,1.37,15.4
2021,7,5,14,50,3.9,99,15.4
2021,7,5,15,0,3.7,99,15.4
2021,7,5,15,10,4,99,15.4
